车辆标识,运营状态,时间（YYYYMMDDHHNNSS）,x（m）,y（m）
T2,0,20170706123247,4406023.008,522527.941 
T2,0,20170706123340,4404760.859,522966.967 
T2,0,20170706123434,4404320.939,524120.696 
T2,0,20170706123525,4404971.927,525174.235 
T2,0,20170706123620,4405145.897,526401.122 
T2,0,20170706123715,4404969.163,527571.039 
T2,0,20170706123901,4404771.901,530189.557 
T2,0,20170706123951,4404468.483,531314.392 
T2,0,20170706124041,4403225.367,531629.348 
T2,0,20170706124135,4402593.718,532410.002 
T2,0,20170706124229,4402988.916,533694.337 
T2,0,20170706124322,4403398.169,534947.760 
T2,0,20170706124417,4404306.169,535751.572 
T2,0,20170706124510,4405337.935,536109.508 
T2,0,20170706124603,4406129.248,536932.496 
T2,0,20170706124703,4406242.241,538293.890 
T2,0,20170706124753,4406677.312,539311.147 
T2,0,20170706124846,4407692.609,540050.815 
T2,0,20170706124941,4408659.552,541003.526 
T2,0,20170706125035,4409203.573,542126.209 
T2,0,20170706125129,4409666.365,543085.879 
T2,0,20170706125224,4410234.755,543827.316 
T2,0,20170706125317,4410778.461,544387.861 
T2,0,20170706125413,4410884.696,544882.323 
T2,0,20170706125620,4410505.548,545519.426 
T2,0,20170706125710,4410209.126,545958.178 
T2,0,20170706125803,4409691.593,546250.667 
T2,0,20170706125914,4409150.848,546555.092 
T2,0,20170706130009,4408685.795,547114.556 
T2,0,20170706130103,4408244.312,547709.867 
T2,0,20170706130158,4407708.146,548264.032 
T2,0,20170706130251,4407685.017,548490.912 
T2,0,20170706130345,4407689.771,549105.089 
T2,0,20170706130438,4407686.207,549209.007 
T2,0,20170706130533,4407685.363,549209.013 
T2,0,20170706130626,4407695.307,548977.641 
T2,0,20170706130721,4407696.404,548750.899 
T2,0,20170706130815,4407782.937,548233.509 
T2,0,20170706205550,4409506.693,546353.033 
