出租车ID,运营状态,时间（YYYYMMDDHHNNSS）x（m）,x（m）,y（m）
T1,1,20170706123201 ,4419249.268 ,534976.597 
T2,0,20170706123247 ,4406023.008 ,522527.941 
T1,1,20170706123256 ,4419254.794 ,535255.803 
T2,0,20170706123340 ,4404760.859 ,522966.967 
T1,1,20170706123349 ,4419234.220 ,535750.425 
T2,0,20170706123434 ,4404320.939 ,524120.696 
T1,1,20170706123443 ,4419214.717 ,536108.036 
T2,0,20170706123525 ,4404971.927 ,525174.235 
T1,1,20170706123537 ,4419305.520 ,536673.891 
T2,0,20170706123620 ,4405145.897 ,526401.122 
T1,1,20170706123631 ,4419326.456 ,537495.823 
T2,0,20170706123715 ,4404969.163 ,527571.039 
T1,1,20170706123725 ,4419298.563 ,538276.882 
T1,1,20170706123818 ,4419290.566 ,539206.605 
T2,0,20170706123901 ,4404771.901 ,530189.557 
T1,1,20170706123914 ,4419307.757 ,539988.758 
T2,0,20170706123951 ,4404468.483 ,531314.392 
T1,1,20170706124009 ,4419300.934 ,540222.354 
T2,0,20170706124041 ,4403225.367 ,531629.348 
T2,0,20170706124135 ,4402593.718 ,532410.002 
T1,1,20170706124159 ,4419552.297 ,540337.811 
T2,0,20170706124229 ,4402988.916 ,533694.337 
T1,1,20170706124254 ,4420025.511 ,540354.224 
T1,0,20170706124313 ,4420183.086 ,540354.700 
T2,0,20170706124322 ,4403398.169 ,534947.760 
T1,0,20170706124349 ,4420211.051 ,540355.851 
T2,0,20170706124417 ,4404306.169 ,535751.572 
T1,0,20170706124443 ,4420698.197 ,540363.066 
T2,0,20170706124510 ,4405337.935 ,536109.508 
T1,0,20170706124537 ,4420574.917 ,540359.802 
T2,0,20170706124603 ,4406129.248 ,536932.496 
T1,0,20170706124631 ,4420206.329 ,540344.787 
T2,0,20170706124703 ,4406242.241 ,538293.890 
T1,0,20170706124726 ,4420203.793 ,540346.108 
T2,0,20170706124753 ,4406677.312 ,539311.147 
T1,0,20170706124820 ,4420105.134 ,540351.845 
T2,0,20170706124846 ,4407692.609 ,540050.815 
T1,0,20170706124915 ,4419889.604 ,540285.144 
T2,0,20170706124941 ,4408659.552 ,541003.526 
T1,0,20170706125024 ,4419899.424 ,540058.066 
T2,0,20170706125035 ,4409203.573 ,542126.209 
T1,0,20170706125117 ,4419942.356 ,539761.676 
T2,0,20170706125129 ,4409666.365 ,543085.879 
T1,0,20170706125210 ,4419901.631 ,539260.226 
T2,0,20170706125224 ,4410234.755 ,543827.316 
T1,0,20170706125305 ,4420147.903 ,538964.103 
T2,0,20170706125317 ,4410778.461 ,544387.861 
T1,0,20170706125359 ,4420398.876 ,538924.338 
T2,0,20170706125413 ,4410884.696 ,544882.323 
T1,0,20170706125454 ,4420395.948 ,538931.527 
T1,0,20170706125549 ,4420595.148 ,538953.339 
T2,0,20170706125620 ,4410505.548 ,545519.426 
T1,1,20170706125642 ,4420599.106 ,538982.670 
T1,1,20170706125647 ,4420636.795 ,538981.178 
T2,0,20170706125710 ,4410209.126 ,545958.178 
T1,1,20170706125737 ,4420741.933 ,538915.408 
T2,0,20170706125803 ,4409691.593 ,546250.667 
T1,1,20170706125831 ,4420693.708 ,538928.050 
T2,0,20170706125914 ,4409150.848 ,546555.092 
T1,1,20170706125925 ,4420589.586 ,538693.753 
T2,0,20170706130009 ,4408685.795 ,547114.556 
T1,1,20170706130020 ,4420607.650 ,538664.960 
T2,0,20170706130103 ,4408244.312 ,547709.867 
T1,1,20170706130113 ,4420310.441 ,538608.410 
T2,0,20170706130158 ,4407708.146 ,548264.032 
T1,1,20170706130207 ,4420027.410 ,538590.928 
T2,0,20170706130251 ,4407685.017 ,548490.912 
T1,1,20170706130301 ,4419945.917 ,538219.496 
T2,0,20170706130345 ,4407689.771 ,549105.089 
T1,1,20170706130353 ,4419884.153 ,538067.152 
T2,0,20170706130438 ,4407686.207 ,549209.007 
T1,1,20170706130447 ,4419583.828 ,537979.275 
T1,0,20170706130510 ,4419518.766 ,537926.754 
T2,0,20170706130533 ,4407685.363 ,549209.013 
