alpha:1.397E-08,-7.451E-09,-5.96E-08,1.192E-07
beta: 127000,-196600,65540,262100
Position(XYZ):(-2225669.7744,4998936.1598,3265908.9678)
Position(BLH):(31.000000,114.000000,30.0000)
SV     EL(°)      AZ(°)    L1（m）    L2（m）  
G14     -69.425    245.055   0.0000   0.0000
G13      60.443    168.340   4.2870   7.0604
G20      35.096    278.437   6.3478  10.4544
G18      -7.977    255.098   0.0000   0.0000
G16     -17.930    358.344   0.0000   0.0000
G19       0.322    155.476  13.7840  22.7014
G23     -33.567     30.156   0.0000   0.0000
G02      58.863     90.332   4.2010   6.9188
G31     -39.885    302.362   0.0000   0.0000
G17     -19.744    149.365   0.0000   0.0000
G12       3.954    221.224  14.2131  23.4082
G15      33.992    207.000   6.5966  10.8642
G29      43.474    301.998   5.3328   8.7827
G07       6.661     55.465   8.2736  13.6261
G05      62.067      0.153   4.1080   6.7656
G25       5.238    254.739  13.5126  22.2545
G01     -62.086    145.381   0.0000   0.0000
G24      -9.221    192.177   0.0000   0.0000
G27     -49.557    353.753   0.0000   0.0000
G06      18.643    111.834   7.9621  13.1132
R14       0.447     75.090   8.5044  14.0063
R15      -3.577    112.384   0.0000   0.0000
R19      48.490    151.664   4.9054   8.0789
R20      71.133    330.114   3.9280   6.4692
R01     -72.937    162.005   0.0000   0.0000
R06      32.346    249.489   6.8420  11.2684
R05      62.966    335.600   4.1189   6.7835
R04      24.332     32.328   6.7324  11.0879
R21      18.378    330.661   8.3772  13.7968
