以M1为中间点的横断面面积为:255.609876699244
****************************************************************************
点名            X坐标(m)        Y坐标(m)        H坐标(m)
1-M           4518.726      3396.023      17.810
2-M           4521.416      3400.237      15.739
3-M           4524.107      3404.452      15.022
4-M           4526.797      3408.666      14.613
5-M           4529.488      3412.881      14.470
6-M           4516.036      3391.809      17.826
7-M           4499.893      3366.522      14.419
8-M           4497.202      3362.308      14.362
9-M           4494.512      3358.093      14.325
10-M          4491.821      3353.879      14.300
11-M          4489.131      3349.664      14.282
