**************************纵断面计算报告**************************
纵断面信息
纵断面的面积为：572.859
纵断面的全长为：88.577
线路主点:
点名            里程K(m)        X坐标(m)        Y坐标(m)        H坐标(m)
K0            0.000         4574.012      3358.300      12.922
V-1           10.000        4565.251      3363.121      14.029
V-2           20.000        4556.490      3367.943      16.790
V-3           30.000        4547.729      3372.764      17.950
V-4           40.000        4538.968      3377.586      19.102
K1            45.412        4534.227      3380.195      19.925
V-5           50.000        4530.360      3382.664      18.380
V-6           60.000        4521.931      3388.045      18.054
V-7           70.000        4513.502      3393.426      17.665
V-8           80.000        4505.073      3398.807      13.110
K2            88.577        4497.844      3403.422      10.836
