baseline name: componentX(m) , componentY(m) , componentZ(m) ,    length(km) ,    sigmaN(mm) ,    sigmaE(mm) ,    sigmaU(mm)
  011 ->012 :      -296.9028,      -251.4265,        66.8984,         0.3948,         0.3000,         0.3000,         0.5000
  011 ->021 :      -226.3867,       260.6569,      -464.1785,         0.5785,         0.7000,         0.8000,         1.1000
  011 ->022 :      -605.4528,       -91.2868,      -340.4827,         0.7006,         0.3000,         0.4000,         0.5000
  012 ->021 :        70.5162,       512.0828,      -531.0789,         0.7411,         0.7000,         0.8000,         1.1000
  012 ->022 :      -308.5499,       160.1387,      -407.3820,         0.5355,         0.3000,         0.4000,         0.5000
  012 ->013 :       246.0296,      -186.3620,       381.4816,         0.4907,         0.6000,         0.8000,         0.5000
  012 ->014 :      -207.4997,      -503.8578,       440.8862,         0.7009,         0.5000,         0.7000,         0.5000
  012 ->022 :      -308.5333,       160.1374,      -407.3781,         0.5355,         0.9000,         1.1000,         0.7000
  013 ->014 :      -453.5276,      -317.4958,        59.4027,         0.5568,         0.6000,         0.8000,         0.5000
  013 ->022 :      -554.5632,       346.4993,      -788.8595,         1.0246,         0.8000,         1.1000,         0.7000
  014 ->022 :      -101.0364,       663.9970,      -848.2594,         1.0820,         0.8000,         1.0000,         0.6000
  014 ->015 :      -422.8480,      -302.1538,        52.1437,         0.5223,         1.0000,         1.0000,         1.4000
  014 ->022 :      -101.0372,       663.9970,      -848.2768,         1.0820,         0.6000,         0.6000,         0.9000
  014 ->023 :      -554.0412,       305.9233,      -749.0135,         0.9806,         0.7000,         0.7000,         1.0000
  015 ->022 :       321.8185,       966.1495,      -900.4231,         1.3593,         1.3000,         1.5000,         2.4000
  015 ->023 :      -131.1880,       608.0697,      -801.1725,         1.0143,         1.1000,         1.4000,         2.0000
  015 ->016 :      -416.1198,      -293.0297,        56.2212,         0.5120,         0.8000,         1.1000,         1.4000
  015 ->023 :      -131.1780,       608.0611,      -801.1654,         1.0143,         0.9000,         1.3000,         1.2000
  015 ->024 :      -715.5685,       173.9730,      -697.5528,         1.0143,         1.0000,         1.3000,         1.1000
  016 ->023 :       284.9423,       901.0981,      -857.3765,         1.2760,         0.9000,         1.2000,         1.5000
  016 ->024 :      -299.4478,       466.9957,      -753.7709,         0.9359,         0.9000,         1.1000,         1.5000
  016 ->017 :      -388.4889,      -303.4623,        89.7364,         0.5011,         1.1000,         2.1000,         1.3000
  016 ->024 :      -299.4309,       466.9970,      -753.7974,         0.9359,         1.6000,         2.7000,         1.8000
  016 ->025 :      -785.5237,       125.7968,      -687.4048,         1.0514,         1.5000,         2.3000,         1.7000
  017 ->024 :        89.0536,       770.4636,      -843.5299,         1.1459,         1.3000,         2.5000,         1.4000
  017 ->025 :      -397.0311,       429.2535,      -777.1444,         0.9725,         0.9000,         1.6000,         1.0000
  021 ->022 :      -379.0843,      -351.9136,       123.7213,         0.5318,         0.8000,         1.9000,         0.8000
  021 ->031 :      -732.2001,        39.5263,      -420.6061,         0.8453,         0.6000,         1.3000,         0.6000
  021 ->032 :      -890.2370,       153.7722,      -823.9392,         1.2227,         1.0000,         2.0000,         1.0000
  021 ->022 :      -379.0655,      -351.9416,       123.6975,         0.5318,         0.8000,         1.0000,         1.2000
  022 ->031 :      -353.1213,       391.4563,      -544.3228,         0.7578,         0.4000,         0.8000,         0.4000
  022 ->032 :      -511.1553,       505.7291,      -947.6455,         1.1896,         0.6000,         1.1000,         0.8000
  022 ->031 :      -353.1208,       391.4597,      -544.3343,         0.7578,         0.5000,         0.6000,         0.6000
  022 ->032 :      -511.1558,       505.7000,      -947.6883,         1.1896,         0.7000,         1.1000,         0.9000
  022 ->033 :     -1042.9217,       -64.1898,      -656.9283,         1.2342,         0.8000,         1.0000,         1.2000
  022 ->023 :      -452.9907,      -358.1070,        99.2369,         0.5859,         0.6000,         1.0000,         0.7000
  022 ->033 :     -1042.9079,       -64.1892,      -656.9229,         1.2342,         0.9000,         1.5000,         1.3000
  022 ->034 :     -1215.7356,      -208.7619,      -607.9767,         1.3752,         0.6000,         0.9000,         0.8000
  022 ->023 :      -453.0039,      -358.0838,        99.2463,         0.5859,         0.9000,         1.1000,         1.8000
  023 ->033 :      -589.9150,       293.9035,      -756.1679,         1.0031,         0.8000,         1.4000,         1.1000
  023 ->034 :      -762.7453,       149.3363,      -707.2200,         1.0508,         0.4000,         0.7000,         0.6000
  023 ->024 :      -584.3911,      -434.0993,       103.6189,         0.7353,         1.1000,         1.3000,         1.1000
  023 ->024 :      -584.3936,      -434.0915,       103.6088,         0.7353,         0.9000,         1.2000,         1.5000
  023 ->034 :      -762.7474,       149.3258,      -707.2244,         1.0508,         0.5000,         0.7000,         0.9000
  023 ->035 :     -1243.9333,      -219.1572,      -606.6026,         1.4012,         0.9000,         1.2000,         1.4000
  023 ->024 :      -584.3828,      -434.0858,       103.6077,         0.7353,         0.6000,         0.9000,         0.6000
  024 ->025 :      -486.0880,      -341.2099,        66.3878,         0.5976,         1.6000,         3.0000,         1.7000
  024 ->025 :      -486.0872,      -341.1920,        66.3817,         0.5976,         0.7000,         1.5000,         0.9000
  024 ->035 :      -659.5672,       214.9922,      -710.1808,         0.9928,         0.8000,         1.7000,         1.0000
  024 ->036 :      -920.4734,        11.7307,      -653.8551,         1.1291,         0.9000,         1.8000,         1.0000
