point name: componentX(m) , componentY(m) , componentZ(m) ,    sigmaN(mm) ,    sigmaE(mm) ,    sigmaU(mm),control point
       011:  -2590688.3661,   4468752.5218,   3729121.5540,         0.0238,         0.0238,         0.0238         1
       012:  -2590985.2674,   4468501.0950,   3729188.4549,         0.3656,         0.3812,         0.3521         0
       021:  -2590914.7595,   4469013.1804,   3728657.3892,         0.7003,         0.6286,         0.5543         0
       022:  -2591293.8182,   4468661.2365,   3728781.0710,         0.0238,         0.0238,         0.0237         1
       013:  -2590739.2318,   4468314.7336,   3729569.9368,         0.8078,         0.6853,         0.6297         0
       014:  -2591192.7590,   4467997.2404,   3729629.3394,         0.5290,         0.5038,         0.4766         0
       015:  -2591615.6054,   4467695.0870,   3729681.4876,         0.8366,         0.8387,         0.7561         0
       023:  -2591746.8080,   4468303.1140,   3728880.3087,         0.4931,         0.4580,         0.4024         0
       016:  -2592031.7348,   4467402.0540,   3729737.7016,         0.0238,         0.0238,         0.0238         1
       024:  -2592331.1914,   4467869.0420,   3728983.9237,         0.6103,         0.5363,         0.4635         0
       017:  -2592420.2089,   4467098.6042,   3729827.4451,         1.5571,         1.2438,         1.0072         0
       025:  -2592817.2843,   4467527.8756,   3729050.3153,         1.0185,         0.8068,         0.6448         0
       031:  -2591646.9380,   4469052.6959,   3728236.7263,         0.5863,         0.4931,         0.4255         0
       032:  -2591804.9785,   4469166.9526,   3727833.3777,         0.7866,         0.6695,         0.5688         0
       033:  -2592336.7480,   4468597.0295,   3728124.1175,         0.7860,         0.7497,         0.6584         0
       034:  -2592509.5849,   4468452.4582,   3728173.0647,         0.6258,         0.5938,         0.5150         0
       035:  -2592990.7641,   4468083.9705,   3728273.6794,         0.8553,         0.7511,         0.6360         0
       036:  -2593251.6621,   4467880.7231,   3728330.0214,         0.0238,         0.0238,         0.0238         1
