    _0152642.zsd-_0222642.zsd     
1.参考站信息                       
点名：                        015
点号：                        
WGS84 X(m):                   -2591615.6149
WGS84 Y(m):                   4467695.0836
WGS84 Z(m):                   3729681.4804
WGS84 纬度                    036:00:58.98958N
WGS84 经度                    120:07:01.61544E
WGS84 椭球高(m):              32.3497
接收机类型：                  HD-V9
接收机型号：                  
接收机编号：                  2832438
天线类型：                    V9
天线型号：                    
天线高(m)                     1.5800
量测至：                      参考点(斜高)


2.移动站                         
点名：                        022
点号： 
control                       
WGS84 X(m):                   -2591293.8182
WGS84 Y(m):                   4468661.2365
WGS84 Z(m):                   3728781.0710
WGS84 纬度                    036:00:22.49638N
WGS84 经度                    120:06:31.14307E
WGS84 椭球高(m):                 48.4103
接收机类型：                  HD-V9
接收机型号：                  
接收机型号：                  2832724
天线类型：                    V9
天线型号：                    
天线高(m)                     1.6760
量测至：                      参考点(斜高)


3.解算控制参数                      
开始时间：                    2016/9/20 星期二 10:31:20
结束时间：                    2016/9/20 星期二 11:29:50
间隔：                        30
解算模式：                    Auto
Lc 解算距离[m]:               10000
粗差容忍系数：                3.5
Ratio 值限制:                 1.8
高度截止角：                  15
对流层模型：                  Hopfield
轨道类型：                    广播星历
单频基线解算长度限制[m]:      30000


4.卫星跟踪


5.基线解算结果
    解类型          DX(m)          DY(m)          DZ(m)      中误差_DX(mm)  中误差_DY(mm)  中误差_DZ(mm)     RMS(mm)    
    三差_L1       321.9058       966.0526       -900.5165        134.2          162.0          68.6           12.8      
    浮动_L1       321.8433       966.1565       -900.4472         8.2           12.9            5.6           16.5      
    固定_L1       321.8185       966.1495       -900.4231         1.3            1.5            2.4           21.0      


6.整周模糊度
浮动解情况(L1)
     系统          卫星号           周             秒            间隔          浮动解         标准差        使用星数       弃用历元          RMS      
GLO                   4            1915          181880           450          23.6719        0.1878           16              0           0.0181     
GLO                   9            1915          181880           450          19.0217        0.2658           13              1           0.0222     
GLO                  10            1915          181880           450          18.9793        0.3094           16              0           0.0197     
GLO                  11            1915          181880           450          19.8930        0.0890           16              0           0.0146     
GLO                  19            1915          181880           450          15.6429        0.0815           16              0           0.0186     
GLO                  20            1915          181880           450          7.7109         0.0745           16              0           0.0156     
GLO                  21            1915          181880           450          18.9175        0.1461           16              0           0.0205     
GPS                   6            1915          181880          1110       -1903120.8420     0.0367           32              0           0.0224     
GPS                  11            1915          181880          1620         -11.1344        0.0887           55              0           0.0151     
GPS                  17            1915          181880          3330          -0.0039        0.0193           110             0           0.0145     
GPS                   1            1915          181880          3420          -1.1492        0.0738           98              0           0.0186     
GPS                   3            1915          181880          3510          -0.0868        0.0498           117             0           0.0142     
GPS                  19            1915          181880          3510          -5.9362        0.0319           112             0           0.0145     
GPS                  22            1915          181880          3510          -5.1258        0.0658           113             0           0.0162     
GLO                   4            1915          182600           450          24.7557        0.1883           14              1           0.0203     
GLO                  10            1915          182600           450          20.0414        0.3086           14              1           0.0235     
GLO                  11            1915          182600           450          20.9222        0.0911           15              0           0.0204     
GLO                  19            1915          182600           450          16.7542        0.0836           15              0           0.0218     
GLO                  20            1915          182600           450          8.8800         0.0681           14              1           0.0096     
GLO                  21            1915          182600           450          20.0049        0.1439           14              1           0.0165     
GPS                   6            1915          183410          1980       -1903119.8003     0.0378           66              0           0.0165     
GLO                   4            1915          183620           720          15.7444        0.1882           21              3           0.0329     
GLO                  11            1915          183620          1770          12.1698        0.0905           60              0           0.0154     
GLO                  20            1915          183620          1770          -0.0881        0.0486           60              0           0.0127     
GLO                  21            1915          183620          1770          11.1087        0.1346           60              0           0.0122     
GLO                  19            1915          183890           390          11.7870        0.0877           14              0           0.0141     
GLO                  10            1915          184250           600         -21.6886        0.3057           21              0           0.0150     
固定解情况(L1)
     系统          卫星号          Week          Seconds         间隔          固定解          Ratio        使用星数       弃用历元          RMS      
GLO                   4            1915          181880           450      23.9999999986031      2.0            16              0           0.0192     
GLO                  11            1915          181880           450      19.9999999995343      2.0            16              0           0.0462     
GLO                  20            1915          181880           450      7.9999999990687      2.0            15              1           0.0436     
GLO                  21            1915          181880           450      18.9999999990687      2.0            16              0           0.0287     
GPS                   6            1915          181880          1110         -1903121          2.0            32              0           0.0231     
GPS                  11            1915          181880          1620      -10.9999999990687      2.0            55              0           0.0160     
GPS                  17            1915          181880          3330      1.11022302462516E-16      2.0            110             0           0.0160     
GPS                   1            1915          181880          3420      -1.00000000046568      2.0            98              0           0.0193     
GPS                   3            1915          181880          3510      -2.32834196367548E-10      2.0            117             0           0.0156     
GPS                  19            1915          181880          3510      -6.00000000011885      2.0            112             0           0.0181     
GPS                  22            1915          181880          3510      -5.00000000000001      2.0            113             0           0.0168     
GLO                   4            1915          182600           450      24.9999999986031      2.0            15              0           0.0273     
GLO                  11            1915          182600           450      20.9999999995343      2.0            14              1           0.0439     
GLO                  19            1915          182600           450      16.9999999993015      2.0            14              1           0.0240     
GLO                  20            1915          182600           450      8.99999999953436      2.0            14              1           0.0149     
GLO                  21            1915          182600           450            20             2.0            14              1           0.0158     
GPS                   6            1915          183410          1980         -1903120          2.0            66              0           0.0274     
GLO                   4            1915          183620           720      15.9999999986031      2.0            21              3           0.0316     
GLO                  11            1915          183620          1770      11.9999999995343      2.0            60              0           0.0155     
GLO                  20            1915          183620          1770      -2.32819985512833E-10      2.0            60              0           0.0141     
GLO                  21            1915          183620          1770            11             2.0            60              0           0.0234     
GLO                  19            1915          183890           390      11.9999999988358      2.0            14              0           0.0233     
