点号,Y(东西),X(南北),Z(高程)
Z01,4267605.935,403114.704,1285.95610
Z02,4267620.761,403101.712,1283.07729
Z03,4267635.351,403088.933,1281.96903
Z04,4267651.017,403075.506,1281.87326
Z05,4267666.304,403062.513,1281.39450
Z06,4267681.931,403049.349,1284.91635
Z07,4267696.782,403036.798,1282.90742
Z08,4267711.910,403023.489,1281.64022
Z09,4267727.388,403010.126,1281.12877
Z10,4267742.485,402997.192,1280.32475
Z11,4267756.883,402984.663,1280.34134
Z12,4267772.209,402971.022,1279.75716
Z13,4267787.688,402958.235,1277.80501
Z14,4267803.154,402945.280,1277.37575
Z15,4267817.991,402932.096,1278.70634
Z16,4267833.302,402918.877,1281.46644
Z17,4267848.375,402906.224,1279.12439
Z18,4267863.476,402893.229,1277.90721
Z19,4267878.481,402880.304,1279.03719
Z20,4267894.474,402867.326,1277.36058
Z21,4267908.919,402853.895,1276.90132
Z22,4267924.119,402840.885,1277.14950
Z23,4267939.531,402828.358,1276.66499
Z24,4267955.140,402814.714,1278.00321
Z25,4267969.680,402802.157,1278.78336
Z26,4268000.278,402776.295,1276.08420
Z27,4268015.382,402762.807,1276.99500
Z28,4268030.845,402750.196,1276.80013
Z29,4268046.055,402736.665,1277.04280
Z30,4268061.109,402723.628,1277.13250
Z31,4268076.173,402710.626,1277.01969
Z32,4268091.141,402697.293,1276.73898
Z33,4268106.769,402684.601,1275.32860
Z34,4268121.613,402671.493,1276.55497
Z35,4268136.487,402658.690,1276.25532
Z36,4268151.003,402646.193,1275.58921
Z37,4268167.347,402631.554,1275.15091
Z38,4268182.387,402619.383,1275.11111
Z39,4268197.347,402606.773,1275.14806
Z40,4268212.878,402593.637,1274.88687
