测点名称    
J7point(N)

位置初始值(mm)
0.0338  
速度初始值(mm/d)
0       

观测噪声协方差(mm^2)  状态噪声协方差(mm^2)
3.404                   0.308   

状态模型    
常速度模型   

滤波方法    
抗差Kalman滤波

监测期号    原始坐标序列(mm)    滤波值(mm)    预测值(mm) 
1              0.177            0.0885         0.0338         
2              -0.342           -0.0336        0.091          
3              -0.136           -0.0584        -0.0368        
4              -1.776           -0.3946        -0.0628        
5              -0.135           -0.3591        -0.4154        
6              2.191            -0.1504        -0.3775        
7              2.495            0.0331         -0.1572        
8              -2.283           -0.187         0.0367         
9              0.051            -0.1608        -0.1962        
10             0.372            -0.1006        -0.1682        
11             0.949            0.016          -0.104         
12             -0.228           -0.0083        0.0201         
13             0.259            0.0202         -0.006         
14             0.005            0.0206         0.0245         
15             -0.075           0.0133         0.0248         
16             -2.384           -0.1192        0.0167         
17             -0.044           -0.1151        -0.1256        
18             -1.494           -0.2436        -0.1209        
19             0.087            -0.221         -0.259         
20             -2.216           -0.3926        -0.234         
21             -1.707           -0.519         -0.4185        
22             2.288            -0.5228        -0.8317        
23             2.675            -0.4174        -0.5464        
24             -1.58            -0.5951        -0.4325        
25             0.427            -0.4673        -0.6223        
26             1.044            -0.2819        -0.4846        
27             0.82             -0.151         -0.2858        
28             0.163            -0.1128        -0.1457        
29             0.158            -0.0799        -0.1051        
30             -0.121           -0.0799        -0.0703        
31             0.317            -0.0358        -0.0705        
32             -1.034           -0.1272        -0.0238        
33             -0.897           -0.1971        -0.1218        
34             -0.636           -0.2369        -0.1965        
35             -0.43            -0.2551        -0.2391        
36             -1.447           -0.3602        -0.2584        
37             -0.462           -0.3735        -0.3704        
38             -0.817           -0.4154        -0.3843        
39             0.287            -0.364         -0.4287        
40             -1.486           -0.4587        -0.3733        
41             0.24             -0.4103        -0.4741        
42             -0.215           -0.4004        -0.4219        
43             -0.251           -0.3937        -0.4109        
44             -1.572           -0.4884        -0.4034        
45             0.754            -0.4015        -0.5043        
46             2.455            -0.3374        -0.4109        
47             1.433            -0.203         -0.342         
48             1.689            -0.0564        -0.1982        
49             1.689            0.1304         0.0032         
50             1.689            0.2778         0.1517         
51             1.689            0.4675         0.3892         
52             1.689            0.594          0.4948         
53             1.689            0.7283         0.6656         
54             1.689            0.8418         0.7868         
55             1.689            0.9457         0.9059         
56             1.689            1.0412         1.0146         
57             1.689            1.7518         2.4996         
58             -0.398           1.4113         1.8237         
59             -0.808           1.1277         1.4629         
60             -1.146           0.8817         1.1628         
61             -0.394           0.7113         0.9028         
62             -0.923           0.505          0.7227         
63             0.426            0.4956         0.5051         
64             -1.378           0.2849         0.4952         
65             0.367            0.2883         0.2731         
66             -0.568           0.197          0.2771         
67             -0.358           0.1364         0.181          
68             -0.971           0.0256         0.1175         
69             1.546            0.1497         0.001          
70             2.892            0.2317         0.1329         
71             0.993            0.2922         0.2201         
72             -0.29            0.2398         0.2845         
73             -0.368           0.1851         0.2292         
74             3.879            0.2029         0.1716         
75             -1.024           0.0947         0.1908         
76             0.527            0.1216         0.0763         
77             0.921            0.1782         0.1055         
78             1.271            0.2585         0.1662         
79             -0.412           0.2037         0.252          
80             -0.037           0.1808         0.1938         
81             -0.96            0.0899         0.1698         
82             -0.784           0.0172         0.0733         
83             -3.046           -0.0376        0.0106         
84             -1.931           -0.3289        -0.2246        
85             0.076            -0.3031        -0.3664        
86             -1.02            -0.391         -0.3376        
87             1.623            -0.2315        -0.4301        
88             2.751            -0.1658        -0.259         
89             0.963            -0.0677        -0.188         
90             -0.02            -0.0702        -0.0828        
91             -0.532           -0.1185        -0.0849        
92             5.691            -0.1272        -0.1359        
93             -0.152           -0.1374        -0.1446        
94             0.748            -0.0653        -0.1549        
95             0.705            -0.003         -0.0763        
96             2.796            0.0931         -0.0471        
97             2.796            0.2988         0.0915         
98             2.796            0.5291         0.311          
99             2.796            0.7829         0.5546         
100            2.796            1.0592         0.8226         
101            2.796            1.2921         1.1102         
102            2.796            1.4957         1.3636         
103            2.796            1.6705         1.5725         
104            2.796            1.8242         1.7552         
105            2.796            1.961          1.9155         
106            2.796            2.0808         2.0519         
107            4.018            2.3061         2.1879         
108            4.018            2.508          2.4175         
