incident_id	incident_datetime	incident_type_primary	latitude	longitude	hour_of_day	day_of_week	
833982757	08/30/2017 11:53:07 PM	WELFARE CHECK	37.35733125	-122.1130241	23	Wednesday	
833982759	08/30/2017 11:49:28 PM	VEHICLE STOP	37.33136007	-121.9946502	23	Wednesday	
833982760	08/30/2017 11:48:41 PM	VEHICLE STOP	37.29015282	-121.9865382	23	Wednesday	
833982762	08/30/2017 11:42:17 PM	VEHICLE STOP	37.00418649	-121.5454295	23	Wednesday	
833982764	08/30/2017 11:39:21 PM	PEDESTRIAN STOP	37.29166311	-121.9909	23	Wednesday	
833982767	08/30/2017 11:28:54 PM	PEDESTRIAN STOP	37.28926635	-121.9936025	23	Wednesday	
833982768	08/30/2017 11:28:20 PM	VEHICLE STOP	37.30364996	-121.8597901	23	Wednesday	
833982769	08/30/2017 11:26:11 PM	VEHICLE STOP	37.28238838	-122.0047402	23	Wednesday	
833982770	08/30/2017 11:23:01 PM	VEHICLE STOP	37.29166311	-121.9909	23	Wednesday	
833982771	08/30/2017 11:22:18 PM	VEHICLE STOP	37.30364996	-121.8597901	23	Wednesday	
833982773	08/30/2017 11:19:01 PM	VEHICLE STOP	37.35629648	-121.8181165	23	Wednesday	
833982774	08/30/2017 11:14:20 PM	VEHICLE BURGLARY	37.33483093	-122.0133641	23	Wednesday	
833982776	08/30/2017 11:07:04 PM	PEDESTRIAN STOP	37.37643681	-121.8940532	23	Wednesday	
833982777	08/30/2017 11:03:49 PM	DISTURBANCE, EXCESSIVE NOISE	37.28272989	-122.018291	23	Wednesday	
833982780	08/30/2017 10:52:53 PM	MEET THE CITIZEN	37.07322247	-121.5936944	22	Wednesday	
833982781	08/30/2017 10:49:13 PM	VEHICLE STOP	37.29450551	-121.9303782	22	Wednesday	
833982782	08/30/2017 10:46:31 PM	PEDESTRIAN STOP	37.34098022	-121.8618455	22	Wednesday	
833982784	08/30/2017 10:44:21 PM	VEHICLE STOP	36.98688138	-121.5574114	22	Wednesday	
833982786	08/30/2017 10:40:36 PM	FIREARMS DISCHARGED	36.98520772	-121.5587231	22	Wednesday	
833982789	08/30/2017 10:25:54 PM	VEHICLE STOP	37.32423097	-121.8905342	22	Wednesday	
833982790	08/30/2017 10:24:24 PM	VEHICLE STOP	37.12841088	-121.6282537	22	Wednesday	
833982792	08/30/2017 10:13:07 PM	WELFARE CHECK	37.28960008	-121.869676	22	Wednesday	
833982793	08/30/2017 10:12:53 PM	VEHICLE BURGLARY	37.33483093	-122.0133641	22	Wednesday	
833982794	08/30/2017 10:10:05 PM	VEHICLE BURGLARY	37.33483093	-122.0133641	22	Wednesday	
833982796	08/30/2017 09:54:42 PM	UNKNOWN TYPE 911 CALL	37.32491293	-122.031255	21	Wednesday	
833982797	08/30/2017 09:53:40 PM	VEHICLE STOP	37.33789752	-121.9942306	21	Wednesday	
833982798	08/30/2017 09:46:31 PM	TRESPASSING	37.33630431	-121.8879038	21	Wednesday	
833982799	08/30/2017 09:45:56 PM	DISTURBANCE, FAMILY	37.25094304	-121.921127	21	Wednesday	
833982800	08/30/2017 09:36:19 PM	DISTURBANCE, MUSIC	37.2742243	-122.0312482	21	Wednesday	
833982805	08/30/2017 09:22:37 PM	VEHICLE STOP	37.31569678	-122.0310661	21	Wednesday	
833982807	08/30/2017 09:13:58 PM	VEHICLE BURGLARY	37.31333647	-122.031121	21	Wednesday	
833982811	08/30/2017 09:06:48 PM	VEHICLE STOP	37.39255236	-121.9749098	21	Wednesday	
833982812	08/30/2017 09:05:02 PM	MEET THE CITIZEN	37.2673068	-122.0129257	21	Wednesday	
833982813	08/30/2017 09:03:18 PM	Other	37.22228776	-121.7807571	21	Wednesday	
833982815	08/30/2017 09:00:19 PM	VEHICLE ACCIDENT, PROPERTY DAMAGE	37.27696179	-122.0063496	21	Wednesday	
833982817	08/30/2017 08:58:07 PM	DISTURBANCE, FAMILY	37.1710256	-121.6963391	20	Wednesday	
833982818	08/30/2017 08:57:34 PM	VEHICLE ACCIDENT, PROPERTY DAMAGE	37.27696179	-122.0063496	20	Wednesday	
833982820	08/30/2017 08:51:51 PM	UNKNOWN TYPE 911 CALL	37.26945362	-122.0225582	20	Wednesday	
833982821	08/30/2017 08:51:00 PM	WELFARE CHECK	37.27582554	-122.0285312	20	Wednesday	
833982823	08/30/2017 08:44:49 PM	Other	37.33759835	-122.0402527	20	Wednesday	
833982824	08/30/2017 08:43:58 PM	ABANDONED VEHICLE, BLOCKING DRIVEWAY	37.32345628	-121.9297973	20	Wednesday	
833982825	08/30/2017 08:37:12 PM	UNKNOWN TYPE 911 CALL	37.32601233	-122.0470994	20	Wednesday	
833982826	08/30/2017 08:33:50 PM	Other	37.38915251	-121.833292	20	Wednesday	
833982828	08/30/2017 08:28:22 PM	VEHICLE STOP	37.33768682	-121.8906126	20	Wednesday	
833982829	08/30/2017 08:23:52 PM	VEHICLE ACCIDENT, PROPERTY DAMAGE	37.25893863	-122.0309697	20	Wednesday	
833982830	08/30/2017 08:17:06 PM	THEFT	37.33764572	-122.0322383	20	Wednesday	
833982831	08/30/2017 08:14:42 PM	Other	37.37821403	-121.8297237	20	Wednesday	
833982833	08/30/2017 08:12:03 PM	WELFARE CHECK	37.33822603	-121.8893843	20	Wednesday	
833982834	08/30/2017 08:10:52 PM	PEDESTRIAN STOP	37.01456327	-121.5715016	20	Wednesday	
833982835	08/30/2017 08:10:29 PM	VEHICLE STOP	37.33774835	-122.0211977	20	Wednesday	
833982836	08/30/2017 08:08:26 PM	UNKNOWN TYPE 911 CALL	37.27582554	-122.0285312	20	Wednesday	
833982838	08/30/2017 08:00:03 PM	ABANDONED VEHICLE	37.36845644	-121.8115172	20	Wednesday	
833982839	08/30/2017 07:59:10 PM	RECKLESS DRIVING	37.07816011	-121.6545786	19	Wednesday	
833982840	08/30/2017 07:56:40 PM	DISTURBANCE, NEIGHBOR	37.18002632	-121.8153226	19	Wednesday	
833982842	08/30/2017 07:44:09 PM	PEDESTRIAN STOP	37.34098022	-121.8618455	19	Wednesday	
833982843	08/30/2017 07:42:48 PM	DISTURBANCE, MUSIC	37.25216034	-122.003548	19	Wednesday	
833982844	08/30/2017 07:40:30 PM	DISTURBANCE	37.36820532	-121.8152982	19	Wednesday	
833982846	08/30/2017 07:38:34 PM	VEHICLE STOP	37.27944204	-122.0313551	19	Wednesday	
833982847	08/30/2017 07:37:33 PM	TRESPASSING	37.31334405	-121.9375133	19	Wednesday	
833982849	08/30/2017 07:35:05 PM	FLAG DOWN	37.35278445	-121.8667056	19	Wednesday	
833982851	08/30/2017 07:27:25 PM	FLAG DOWN	37.32345318	-121.9307258	19	Wednesday	
833982852	08/30/2017 07:22:19 PM	UNKNOWN TYPE 911 CALL	37.38129365	-122.1681344	19	Wednesday	
833982854	08/30/2017 07:03:26 PM	PEDESTRIAN STOP	36.98946556	-121.5601869	19	Wednesday	
833982855	08/30/2017 06:58:31 PM	FIRE, SPECIFY TYPE	37.31893483	-122.0122856	18	Wednesday	
833982858	08/30/2017 06:42:40 PM	VEHICLE STOP	37.00649606	-121.5688179	18	Wednesday	
833982861	08/30/2017 06:36:33 PM	VEHICLE STOP	37.35186516	-121.8685123	18	Wednesday	
833982862	08/30/2017 06:35:56 PM	UNKNOWN TYPE 911 CALL	37.41651454	-121.9013102	18	Wednesday	
833982863	08/30/2017 06:32:35 PM	VEHICLE STOP	37.33017092	-121.8806698	18	Wednesday	
833982864	08/30/2017 06:30:17 PM	DOMESTIC VIOLENCE	37.36461935	-121.8483051	18	Wednesday	
833982866	08/30/2017 06:28:50 PM	PURSE SNATCH ROBBERY	37.32294118	-122.0312146	18	Wednesday	
833982869	08/30/2017 06:18:20 PM	RECOVERED VEHICLE	37.36590044	-121.8465388	18	Wednesday	
833982870	08/30/2017 06:17:19 PM	VEHICLE STOP	37.34880097	-121.862745	18	Wednesday	
833982871	08/30/2017 06:16:01 PM	MISSING PERSON	37.31087761	-121.9336832	18	Wednesday	
833982873	08/30/2017 06:09:39 PM	VEHICLE ACCIDENT, PROPERTY DAMAGE	37.33264017	-121.926774	18	Wednesday	
833982875	08/30/2017 06:07:35 PM	PEDESTRIAN STOP	37.41651454	-121.9013102	18	Wednesday	
833982876	08/30/2017 06:07:30 PM	VEHICLE STOP	37.32623654	-122.0052103	18	Wednesday	
833982877	08/30/2017 06:05:18 PM	DOMESTIC VIOLENCE	37.36461935	-121.8483051	18	Wednesday	
833982878	08/30/2017 06:00:29 PM	HIT AND RUN  PROPERTY DAMAGE ONLY	37.25757647	-122.0326256	18	Wednesday	
833982881	08/30/2017 05:58:30 PM	BURGLARY (460)	37.3253461	-121.929799	17	Wednesday	
833982882	08/30/2017 05:58:16 PM	Other	37.37161778	-121.8098175	17	Wednesday	
833982883	08/30/2017 05:55:26 PM	VEHICLE STOP	37.35467928	-121.8501558	17	Wednesday	
833982884	08/30/2017 05:53:25 PM	PEDESTRIAN STOP	37.32975753	-121.8979291	17	Wednesday	
833982887	08/30/2017 05:47:47 PM	ALARM, AUDIBLE	37.31330762	-121.9995852	17	Wednesday	
833982888	08/30/2017 05:37:50 PM	Other	37.36339035	-121.8152823	17	Wednesday	
833982889	08/30/2017 05:37:43 PM	DISTURBANCE, FAMILY	37.37821403	-121.8297237	17	Wednesday	
833982892	08/30/2017 05:24:49 PM	DRUNK IN PUBLIC	37.3580675	-121.8595419	17	Wednesday	
833982893	08/30/2017 05:21:11 PM	Other	37.35751586	-121.8085724	17	Wednesday	
833982895	08/30/2017 05:12:29 PM	Other	37.2673068	-122.0129257	17	Wednesday	
833982896	08/30/2017 05:11:55 PM	VEHICLE ACCIDENT, PROPERTY DAMAGE	37.3377729	-122.0131485	17	Wednesday	
833982899	08/30/2017 05:03:01 PM	WELFARE CHECK	37.06780607	-121.5992365	17	Wednesday	
833982900	08/30/2017 05:02:43 PM	Other	37.35051262	-121.8253428	17	Wednesday	
833982901	08/30/2017 05:02:29 PM	ABANDONED VEHICLE	37.15123677	-121.74691	17	Wednesday	
833982903	08/30/2017 04:56:32 PM	FIRE, SPECIFY TYPE	37.33680582	-121.8560935	16	Wednesday	
833982904	08/30/2017 04:55:08 PM	VEHICLE STOP	37.35689279	-121.8456539	16	Wednesday	
833982909	08/30/2017 04:33:34 PM	VEHICLE STOP	37.33043729	-121.8966691	16	Wednesday	
833982910	08/30/2017 04:32:55 PM	VEHICLE STOP	37.30179165	-121.9304832	16	Wednesday	
833982911	08/30/2017 04:31:21 PM	VEHICLE STOP	37.35689279	-121.8456539	16	Wednesday	
