incident_id	incident_datetime	incident_type_primary	latitude	longitude	hour_of_day	day_of_week
837,956,714	03/13/2018 06:53:25 AM	Other	37.1710256	-121.6963391	6	Tuesday
838,521,969	03/19/2018 10:11:05 AM	PEDESTRIAN STOP	37.25090666	-121.910509	10	Monday
838,509,875	03/19/2018 10:13:26 AM	ALARM, AUDIBLE	37.28937559	-121.9966643	10	Monday
838,509,874	03/19/2018 10:15:44 AM	ALARM	37.25558825	-122.0184617	10	Monday
838,509,871	03/19/2018 10:23:27 AM	ASSAULT AND BATTERY	37.35228745	-121.9043375	10	Monday
838,509,870	03/19/2018 10:24:20 AM	VEHICLE STOP	37.33759835	-122.0402527	10	Monday
838,509,869	03/19/2018 10:28:42 AM	ALARM, AUDIBLE	36.98946556	-121.5601869	10	Monday
838,509,865	03/19/2018 10:35:04 AM	VEHICLE STOP	37.32294118	-122.0312146	10	Monday
838,509,864	03/19/2018 10:35:18 AM	ABANDONED VEHICLE	37.02981736	-121.5864843	10	Monday
838,509,863	03/19/2018 10:35:23 AM	DISTURBANCE, UNKNOWN	37.36820532	-121.8152982	10	Monday
838,509,862	03/19/2018 10:35:54 AM	VEHICLE BURGLARY	37.08978986	-121.5955475	10	Monday
838,509,860	03/19/2018 10:40:41 AM	WELFARE CHECK	37.09279311	-121.6536382	10	Monday
838,509,859	03/19/2018 10:41:39 AM	MALICIOUS MISCHIEF	37.32292404	-122.045075	10	Monday
838,509,858	03/19/2018 10:42:39 AM	ABANDONED VEHICLE	37.24281568	-121.6876613	10	Monday
838,509,857	03/19/2018 10:44:26 AM	VEHICLE STOP	37.31210556	-122.0495283	10	Monday
838,509,854	03/19/2018 10:52:33 AM	WELFARE CHECK	37.10083172	-121.6207406	10	Monday
838,509,852	03/19/2018 10:53:14 AM	PEDESTRIAN STOP	37.3664496	-121.826073	10	Monday
838,509,846	03/19/2018 11:07:53 AM	FOUND, MISSING PERSON	37.36889266	-121.8269423	11	Monday
838,509,844	03/19/2018 11:10:04 AM	VEHICLE STOP	37.40652227	-122.1547182	11	Monday
838,509,841	03/19/2018 11:13:32 AM	PEDESTRIAN STOP	37.32294746	-122.0503722	11	Monday
838,509,837	03/19/2018 11:23:12 AM	TRAFFIC HAZARD	37.33442013	-122.0312434	11	Monday
838,509,834	03/19/2018 11:25:17 AM	VEHICLE STOP	37.31569678	-122.0310661	11	Monday
838,509,833	03/19/2018 11:28:08 AM	ALARM, AUDIBLE	37.2096818	-121.9613129	11	Monday
838,509,831	03/19/2018 11:31:39 AM	WELFARE CHECK	37.26497848	-122.0128443	11	Monday
838,509,830	03/19/2018 11:32:40 AM	PEDESTRIAN STOP	37.3382377	-122.0310808	11	Monday
838,509,826	03/19/2018 11:43:34 AM	PEDESTRIAN STOP	36.9760646	-121.5534935	11	Monday
838,509,824	03/19/2018 11:59:07 AM	PEDESTRIAN STOP	37.2955565	-122.0815041	11	Monday
838,509,822	03/19/2018 12:07:58 PM	ASSAULT	37.37933431	-121.8345967	12	Monday
838,509,821	03/19/2018 12:13:58 PM	DISTURBANCE, FAMILY	37.19286048	-121.8237537	12	Monday
838,509,818	03/19/2018 12:20:10 PM	VEHICLE STOP	37.31588003	-121.9947533	12	Monday
838,509,816	03/19/2018 12:22:13 PM	VEHICLE STOP	37.33483093	-122.0133641	12	Monday
838,509,815	03/19/2018 12:24:56 PM	ABANDONED VEHICLE	37.38746034	-122.1518516	12	Monday
838,509,814	03/19/2018 12:26:47 PM	VEHICLE STOP	37.3377729	-122.0131485	12	Monday
838,509,813	03/19/2018 12:28:33 PM	VEHICLE STOP	37.318191	-122.0222098	12	Monday
834,168,754	02/13/2018 07:05:07 PM	VEHICLE STOP	37.33037457	-122.0311949	19	Tuesday
834,168,753	02/13/2018 07:05:46 PM	EMBEZZLEMENT	37.2415232	-121.9505286	19	Tuesday
834,168,752	02/13/2018 07:07:11 PM	ALARM, AUDIBLE	37.35353369	-122.1455272	19	Tuesday
834,168,750	02/13/2018 07:20:43 PM	VEHICLE STOP	37.35629648	-121.8181165	19	Tuesday
834,168,749	02/13/2018 07:26:19 PM	VEHICLE STOP	37.22651016	-121.9739386	19	Tuesday
834,168,748	02/13/2018 07:27:59 PM	VEHICLE STOP	37.32307327	-122.0001939	19	Tuesday
834,168,747	02/13/2018 07:29:46 PM	VEHICLE STOP	37.26422458	-122.0311122	19	Tuesday
834,168,741	02/13/2018 07:58:52 PM	VEHICLE STOP	37.30070143	-122.0312748	19	Tuesday
834,168,739	02/13/2018 08:07:03 PM	Other	37.31539194	-121.9492109	20	Tuesday
834,168,738	02/13/2018 08:12:48 PM	ABANDONED VEHICLE	37.05358271	-121.580489	20	Tuesday
834,182,461	02/13/2018 08:37:05 PM	Other	37.33440048	-121.8342414	20	Tuesday
834,168,729	02/13/2018 08:37:36 PM	VEHICLE STOP	37.3594857	-121.8210288	20	Tuesday
834,168,726	02/13/2018 08:51:20 PM	VEHICLE STOP	37.37394343	-121.8361868	20	Tuesday
834,168,724	02/13/2018 08:56:39 PM	UNKNOWN TYPE 911 CALL	37.24686952	-122.0207929	20	Tuesday
834,168,722	02/13/2018 08:58:16 PM	ALARM, AUDIBLE	37.31978171	-121.9216105	20	Tuesday
834,168,721	02/13/2018 09:02:34 PM	MISDEMEANOR DUI	37.31093434	-122.0366771	21	Tuesday
834,168,720	02/13/2018 09:04:09 PM	VEHICLE STOP	37.2673068	-122.0129257	21	Tuesday
834,182,459	02/13/2018 09:18:51 PM	VEHICLE STOP	37.28171862	-122.0314017	21	Tuesday
834,168,715	02/13/2018 09:25:33 PM	VEHICLE STOP	37.36954169	-121.8242007	21	Tuesday
834,168,714	02/13/2018 09:26:06 PM	VEHICLE STOP	37.30694113	-122.013831	21	Tuesday
834,168,712	02/13/2018 09:38:15 PM	VEHICLE STOP	37.32230085	-121.9987338	21	Tuesday
834,182,457	02/13/2018 09:49:26 PM	PEDESTRIAN STOP	37.36529187	-121.8703757	21	Tuesday
834,182,456	02/13/2018 09:51:46 PM	VEHICLE STOP	37.29393855	-122.0312738	21	Tuesday
834,182,455	02/13/2018 09:52:14 PM	VEHICLE STOP	37.32303969	-121.998955	21	Tuesday
834,182,454	02/13/2018 09:54:49 PM	ALARM, AUDIBLE	37.2617472	-121.9938777	21	Tuesday
834,182,453	02/13/2018 09:59:37 PM	PEDESTRIAN STOP	37.26183208	-121.9262825	21	Tuesday
834,182,447	02/13/2018 10:10:20 PM	PEDESTRIAN STOP	37.31058169	-122.0095031	22	Tuesday
834,182,446	02/13/2018 10:10:29 PM	VEHICLE BURGLARY	37.3229903	-122.0130555	22	Tuesday
834,182,445	02/13/2018 10:12:37 PM	MALICIOUS MISCHIEF	37.3230048	-122.0093757	22	Tuesday
834,182,443	02/13/2018 10:15:47 PM	VEHICLE STOP	37.3422889	-121.8340382	22	Tuesday
834,182,442	02/13/2018 10:17:33 PM	VEHICLE STOP	37.34961362	-121.8275976	22	Tuesday
834,182,441	02/13/2018 10:22:37 PM	PEDESTRIAN STOP	37.00026732	-121.5648254	22	Tuesday
834,182,439	02/13/2018 10:26:43 PM	VEHICLE STOP	37.35432037	-121.820903	22	Tuesday
834,182,436	02/13/2018 10:30:54 PM	PEDESTRIAN STOP	37.3234757	-121.9239163	22	Tuesday
834,182,435	02/13/2018 10:32:38 PM	VEHICLE STOP	37.32343309	-121.9176903	22	Tuesday
834,182,428	02/13/2018 10:59:32 PM	PEDESTRIAN STOP	36.99150262	-121.5609005	22	Tuesday
834,182,424	02/13/2018 11:13:59 PM	VEHICLE STOP	37.32292839	-122.0403631	23	Tuesday
834,182,422	02/13/2018 11:15:55 PM	PEDESTRIAN STOP	37.32346477	-121.9279746	23	Tuesday
